id_cliente,nome,tipo,segmento,qtd_campanhas,ano_ultima_interacao,valor_ultima_campanha,status
70.887.041/3756-00,InvestMax Financeiro,PJ,Automotivo,6,2019,39546.39,Inativo
65.939.441/4825-00,KleanHome Produtos,PJ,Automotivo,5,2023,34983.41,Ativo
92.137.452/8220-65,Empório Sabores ME,PJ,Automotivo,1,2022,7411.42,Inativo
91.925.646/7866-78,QualiSaúde Clínicas,PJ,Automotivo,11,2021,31186.44,Inativo
88.827.020/9143-96,Haute Moda Ltda,PJ,Varejo,2,2023,14093.72,Ativo
18.697.946/0811-06,FrigoNorte Alimentos,PJ,Varejo,11,2022,52790.69,Ativo
17.407.611/4589-21,CompreFácil Varejo,PJ,Automotivo,10,2019,57893.12,Ativo
52.337.518/3607-51,EduMax Cursos,PJ,Turismo,2,2023,32102.57,Ativo
07.652.103/5985-36,Yara Cosméticos Ltda,PJ,Automotivo,12,2024,28390.13,Ativo
77.138.861/7593-82,ZapFood Delivery,PJ,Construção,12,2018,9230.18,Ativo
40.708.537/7859-39,Galpão Construções,PJ,Turismo,10,2018,45823.99,Ativo
38.823.384/6878-38,Drive Motors Ltda,PJ,Varejo,2,2018,70334.8,Inativo
11.054.318/1001-25,Paço Automotivo Ltda,PJ,Varejo,3,2022,24858.23,Inativo
21.753.377/2747-20,Atacadão Norte Ltda,PJ,Automotivo,4,2018,44349.97,Ativo
56.334.722/6145-42,MegaVarejo S.A.,PJ,Automotivo,7,2019,42480.28,Ativo
83.823.970/7707-34,Nativa Alimentos,PJ,Construção,3,2022,19734.24,Ativo
65.173.660/1423-30,TerraFirme Construtora,PJ,Varejo,12,2018,21563.27,Ativo
23.687.034/3930-71,AlphaVest Moda,PJ,Turismo,3,2018,31520.0,Inativo
53.345.067/8739-85,OmniDigital Tech,PJ,Turismo,2,2022,4679.84,Inativo
68.096.626/6141-69,NeoFinance S.A.,PJ,Varejo,1,2022,10934.74,Ativo
39.502.472/8865-93,JáCompra Varejo,PJ,Varejo,8,2024,16830.57,Ativo
32.770.619/0458-68,SoftEdge Sistemas,PJ,Turismo,11,2019,71018.26,Ativo
77.903.143/8999-55,HotelTop Turismo,PJ,Construção,4,2018,69608.65,Ativo
36.852.702/5849-75,Klara Beleza Ltda,PJ,Turismo,6,2022,64700.72,Ativo
31.699.730/9461-30,WebStore Varejo,PJ,Turismo,2,2018,51893.58,Inativo
66.505.901/2424-06,BetaCar Motors,PJ,Varejo,7,2018,75098.6,Ativo
49.949.978/2068-08,VidaPlena Saúde,PJ,Construção,6,2024,34270.4,Ativo
67.632.538/1591-13,MaisAgro Ltda,PJ,Turismo,3,2018,20480.22,Inativo
51.611.221/8899-91,UniLearn Educação,PJ,Automotivo,7,2024,65619.65,Ativo
97.793.735/3814-49,InovaBuild Construtora,PJ,Turismo,3,2021,9295.79,Inativo
012.195.586-99,Helena Pinto,PF,Alimentação,8,2024,60542.02,Ativo
241.592.066-54,Ana Lima,PF,Tecnologia,7,2021,16124.68,Ativo
771.260.033-31,Juliana Alves,PF,Educação,4,2023,59647.1,Ativo
576.340.634-60,Igor Castro,PF,Turismo,9,2023,74650.75,Ativo
852.884.836-12,Eduardo Farias,PF,Saúde,1,2020,16833.85,Ativo
132.412.415-64,Fernanda Gomes,PF,Construção,11,2019,8506.15,Ativo
39.802.819/8230-07,AlphaVest Moda,PJ,Automotivo,7,2023,64045.37,Ativo
74.390.352/9362-30,BetaCar Motors,PJ,Construção,7,2020,67861.86,Ativo
52.884.461/8423-73,CompreFácil Varejo,PJ,Turismo,1,2018,55441.99,Ativo
