id_cliente,nome,tipo,segmento,qtd_campanhas,ano_ultima_interacao,valor_ultima_campanha,status
11.054.318/1001-25,Paço Automotivo Ltda,PJ,Varejo,5,2018,52422.44,Ativo
61.250.988/3939-40,LuzBrilho Beleza,PJ,Construção,8,2019,67176.18,Inativo
97.793.735/3814-49,InovaBuild Construtora,PJ,Turismo,6,2019,58419.93,Ativo
70.887.041/3756-00,InvestMax Financeiro,PJ,Automotivo,8,2023,52976.13,Ativo
75.525.887/1161-98,XPrime Financeiro,PJ,Varejo,6,2018,20605.06,Ativo
52.337.518/3607-51,EduMax Cursos,PJ,Turismo,3,2021,24748.97,Ativo
92.137.452/8220-65,Empório Sabores ME,PJ,Automotivo,5,2018,50482.99,Ativo
21.753.377/2747-20,Atacadão Norte Ltda,PJ,Automotivo,8,2023,44885.62,Ativo
67.632.538/1591-13,MaisAgro Ltda,PJ,Turismo,8,2020,30498.92,Ativo
65.939.441/4825-00,KleanHome Produtos,PJ,Automotivo,6,2021,22444.35,Inativo
67.187.738/2133-38,RuralBom Agro,PJ,Construção,7,2022,27704.6,Inativo
88.827.020/9143-96,Haute Moda Ltda,PJ,Varejo,11,2021,48137.0,Inativo
40.708.537/7859-39,Galpão Construções,PJ,Turismo,5,2021,24613.59,Inativo
31.699.730/9461-30,WebStore Varejo,PJ,Turismo,7,2019,52281.68,Inativo
68.096.626/6141-69,NeoFinance S.A.,PJ,Varejo,2,2024,15497.8,Ativo
37.850.885/4705-15,DataBridge Tech,PJ,Construção,2,2019,76345.05,Inativo
07.652.103/5985-36,Yara Cosméticos Ltda,PJ,Automotivo,6,2023,45760.7,Ativo
77.138.861/7593-82,ZapFood Delivery,PJ,Construção,6,2020,55531.54,Ativo
56.334.722/6145-42,MegaVarejo S.A.,PJ,Automotivo,7,2020,25081.59,Inativo
51.611.221/8899-91,UniLearn Educação,PJ,Automotivo,7,2023,8175.53,Ativo
77.903.143/8999-55,HotelTop Turismo,PJ,Construção,10,2024,79309.1,Ativo
17.407.611/4589-21,CompreFácil Varejo,PJ,Automotivo,7,2023,54963.45,Ativo
65.173.660/1423-30,TerraFirme Construtora,PJ,Varejo,4,2019,31683.68,Ativo
91.925.646/7866-78,QualiSaúde Clínicas,PJ,Automotivo,12,2024,11506.52,Ativo
49.949.978/2068-08,VidaPlena Saúde,PJ,Construção,10,2019,76891.07,Inativo
09.894.808/5459-80,LavouraVerde Agro,PJ,Varejo,3,2020,64937.69,Inativo
14.984.149/9290-50,GrupoFit Saúde,PJ,Automotivo,4,2023,26685.97,Ativo
36.852.702/5849-75,Klara Beleza Ltda,PJ,Turismo,10,2024,6037.94,Ativo
81.599.418/5660-73,BioFarma Saúde S.A.,PJ,Construção,12,2018,38709.76,Ativo
79.803.432/5470-41,Centro Educacional Futuro,PJ,Turismo,7,2021,69477.96,Inativo
852.884.836-12,Eduardo Farias,PF,Saúde,5,2019,19456.3,Ativo
132.412.415-64,Fernanda Gomes,PF,Construção,3,2023,45687.12,Ativo
771.260.033-31,Juliana Alves,PF,Educação,1,2022,24333.26,Inativo
653.269.484-35,Diana Rocha,PF,Financeiro,7,2020,66993.02,Ativo
241.592.066-54,Ana Lima,PF,Tecnologia,9,2023,43266.18,Ativo
859.030.651-80,Carlos Mendes,PF,Automotivo,6,2019,55663.15,Ativo
52.884.461/8423-73,CompreFácil Varejo,PJ,Turismo,11,2022,55971.39,Inativo
29.346.820/4466-32,DataBridge Tech,PJ,Varejo,6,2018,62255.44,Inativo
70.041.364/8298-92,EduMax Cursos,PJ,Automotivo,12,2021,51671.3,Ativo
62.635.805/2413-60,FrigoNorte Alimentos,PJ,Construção,3,2021,2285.16,Inativo
82.400.478/1470-00,GrupoFit Saúde,PJ,Turismo,9,2018,28290.25,Ativo
47.428.127/9702-92,HotelTop Turismo,PJ,Varejo,9,2021,25115.87,Ativo
57.440.802/5303-68,InovaBuild Construtora,PJ,Automotivo,12,2022,31211.14,Inativo
08.237.872/5268-90,JáCompra Varejo,PJ,Construção,6,2019,21715.52,Inativo
15.256.570/0169-75,KleanHome Produtos,PJ,Turismo,4,2024,2885.77,Ativo
14.700.177/2543-95,LuzBrilho Beleza,PJ,Varejo,12,2020,21923.92,Inativo
26.245.447/0821-70,MaisAgro Ltda,PJ,Automotivo,12,2021,8261.37,Inativo
15.100.933/3655-68,NeoFinance S.A.,PJ,Construção,2,2024,2753.93,Ativo
38.029.663/6007-29,ObraFácil Construtora,PJ,Turismo,9,2023,38394.78,Ativo
50.637.108/6009-47,PrimeAuto Ltda,PJ,Varejo,1,2021,5628.52,Inativo
59.308.343/1078-01,QuantumSoft Tech,PJ,Automotivo,10,2019,42283.63,Ativo
27.646.796/5114-66,RedeTur Viagens,PJ,Construção,12,2023,4612.07,Ativo
33.110.605/0482-00,SuperNutri Alimentos,PJ,Turismo,10,2021,26122.7,Inativo
38.859.101/5036-93,TechWave Sistemas,PJ,Varejo,5,2020,61882.9,Ativo
54.778.849/8140-28,UniMed Saúde,PJ,Automotivo,8,2018,79527.54,Ativo
04.955.549/6381-95,ViajarMais Turismo,PJ,Construção,1,2023,8879.31,Ativo
37.341.091/4455-05,WebFarm Agro,PJ,Turismo,9,2022,73981.75,Ativo
65.816.255/4183-04,XtraVarejo Ltda,PJ,Varejo,11,2020,10231.51,Inativo
62.515.362/0824-70,YogaVida Bem-Estar,PJ,Automotivo,5,2023,12786.97,Ativo
65.421.250/6106-40,ZoneMedia Tech,PJ,Construção,8,2023,5037.66,Ativo
12.147.922/3260-51,AgroPrime Ltda,PJ,Turismo,3,2023,25378.3,Ativo
86.853.528/3643-25,BioNutri Saúde,PJ,Varejo,2,2024,24405.75,Ativo
18.310.985/3045-07,ClubFit Academia,PJ,Automotivo,11,2019,43564.54,Ativo
39.365.557/8687-57,DomésticoFácil,PJ,Construção,5,2023,19185.99,Ativo
63.904.861/6003-08,EcoLimpe Produtos,PJ,Turismo,4,2020,71340.75,Ativo
61.763.063/8151-55,FazendasBR Agro,PJ,Varejo,8,2020,43722.24,Inativo
62.328.706/8630-94,GastroTop Alimentos,PJ,Automotivo,7,2021,10723.02,Inativo
06.241.520/5808-29,HighClass Moda,PJ,Construção,12,2024,55389.93,Ativo
92.684.006/4936-62,ImóvelPrime Construtora,PJ,Turismo,11,2020,35071.63,Inativo
72.291.759/9381-47,JuntoSeguros,PJ,Varejo,12,2023,34057.46,Ativo
02.864.782/8874-39,KidLearn Educação,PJ,Automotivo,1,2019,17147.66,Inativo
48.411.361/1768-67,LivrariaCultura,PJ,Construção,8,2020,66227.94,Ativo
15.587.722/2354-79,MercadoBom Varejo,PJ,Turismo,11,2022,10206.36,Inativo
15.733.066/4328-90,NovaTerra Agro,PJ,Varejo,3,2022,53815.82,Ativo
20.591.644/3354-70,OficinaTop Auto,PJ,Automotivo,4,2024,48938.94,Ativo
66.356.039/4012-21,PecuáriaSul Agro,PJ,Construção,4,2022,11195.08,Inativo
20.655.087/4666-99,QualityFarm Agro,PJ,Turismo,1,2023,64661.03,Ativo
82.278.061/3941-02,RetailBR Varejo,PJ,Varejo,1,2020,46390.18,Ativo
44.730.669/9588-71,SolarTech Energia,PJ,Automotivo,11,2019,76555.95,Inativo
51.692.555/2055-82,TurboAuto Motors,PJ,Construção,5,2024,25264.83,Ativo
30.743.885/8534-09,UltraFit Academia,PJ,Turismo,10,2021,51417.5,Inativo
13.717.564/6954-08,VitalFarm Saúde,PJ,Varejo,10,2019,54357.7,Inativo
64.774.257/6921-23,Atacadão Norte Ltda,PJ,Automotivo,3,2022,36083.36,Inativo
77.186.888/2036-60,BioFarma Saúde S.A.,PJ,Construção,4,2024,34270.68,Ativo
99.193.064/9724-41,Centro Educacional Futuro,PJ,Turismo,2,2020,4336.34,Inativo
13.461.344/4097-06,Drive Motors Ltda,PJ,Varejo,9,2020,44392.77,Inativo
18.799.079/8733-93,Empório Sabores ME,PJ,Automotivo,4,2022,11508.54,Inativo
76.779.132/0382-89,FuturaTech Sistemas,PJ,Construção,9,2018,57389.27,Ativo
87.228.903/1458-52,Galpão Construções,PJ,Turismo,3,2022,77204.24,Inativo
43.215.405/3647-80,Haute Moda Ltda,PJ,Varejo,11,2020,45682.61,Ativo
16.526.494/2164-36,InvestMax Financeiro,PJ,Automotivo,3,2024,66040.11,Ativo
45.438.966/6946-41,JetTravel Turismo,PJ,Construção,11,2022,55378.08,Inativo
47.569.797/6597-01,Klara Beleza Ltda,PJ,Turismo,7,2018,21794.1,Ativo
89.745.488/5715-02,LavouraVerde Agro,PJ,Varejo,11,2024,35264.22,Ativo
02.203.325/3961-73,MegaVarejo S.A.,PJ,Automotivo,4,2018,38837.95,Ativo
90.707.017/1292-92,Nativa Alimentos,PJ,Construção,5,2024,49899.24,Ativo
59.025.594/7326-60,OmniDigital Tech,PJ,Turismo,3,2024,63365.29,Ativo
85.881.227/0915-16,Paço Automotivo Ltda,PJ,Varejo,9,2020,13018.19,Ativo
95.831.835/5403-90,QualiSaúde Clínicas,PJ,Automotivo,8,2018,20204.9,Ativo
94.942.668/7080-80,RuralBom Agro,PJ,Construção,9,2018,14636.95,Inativo
81.667.872/6403-54,SoftEdge Sistemas,PJ,Turismo,9,2021,39055.6,Inativo
46.807.966/1469-39,TerraFirme Construtora,PJ,Varejo,7,2021,61794.48,Ativo
97.056.935/5722-73,UniLearn Educação,PJ,Automotivo,10,2023,3341.22,Ativo
25.425.824/3859-23,VidaPlena Saúde,PJ,Construção,9,2018,44004.93,Inativo
97.025.328/6379-84,WebStore Varejo,PJ,Turismo,8,2018,74786.97,Ativo
20.341.382/1773-00,XPrime Financeiro,PJ,Varejo,8,2024,8961.72,Ativo
07.338.038/9042-89,Yara Cosméticos Ltda,PJ,Automotivo,5,2023,28755.08,Ativo
90.727.027/0307-57,ZapFood Delivery,PJ,Construção,10,2023,70510.35,Ativo
50.986.824/4456-08,AlphaVest Moda,PJ,Turismo,12,2020,15524.64,Ativo
09.673.959/3563-40,BetaCar Motors,PJ,Varejo,5,2019,4926.86,Inativo
74.977.836/3129-01,CompreFácil Varejo,PJ,Automotivo,6,2020,55911.09,Inativo
55.982.918/5274-24,DataBridge Tech,PJ,Construção,4,2023,32415.74,Ativo
00.397.564/3978-24,EduMax Cursos,PJ,Turismo,3,2022,55336.64,Inativo
72.949.970/9175-30,FrigoNorte Alimentos,PJ,Varejo,5,2022,38634.24,Ativo
93.252.144/3666-09,GrupoFit Saúde,PJ,Automotivo,12,2024,66814.29,Ativo
49.260.524/9123-71,HotelTop Turismo,PJ,Construção,12,2020,10907.08,Ativo
608.053.731-10,Xavier Monteiro,PF,Saúde,8,2018,51091.35,Ativo
723.227.079-88,Yara Freitas,PF,Construção,5,2019,36496.39,Inativo
663.975.721-45,Zélio Araújo,PF,Agronegócio,10,2024,14828.28,Ativo
027.199.816-48,Amanda Costa,PF,Alimentação,9,2022,53043.57,Inativo
